time,open,high,low,close,volume
2023-04-10 16:10:00,8.4,8.4,8.38,8.3899,29903
2023-04-10 16:15:00,8.39,8.4,8.36,8.4,24644
2023-04-10 16:20:00,8.4,8.41,8.4,8.4,7036
2023-04-10 16:25:00,8.41,8.41,8.4,8.4,13512
2023-04-10 16:30:00,8.41,8.41,8.4,8.4,1019
2023-04-10 16:35:00,8.4,8.41,8.4,8.4,4565
2023-04-10 16:40:00,8.4,8.4,8.4,8.4,10061
2023-04-10 16:45:00,8.4,8.41,8.4,8.41,6401
2023-04-10 16:50:00,8.41,8.43,8.41,8.42,9925
2023-04-10 16:55:00,8.42,8.43,8.42,8.43,9691
2023-04-10 17:00:00,8.42,8.42,8.41,8.41,2864
2023-04-10 17:05:00,8.41,8.42,8.41,8.41,587
2023-04-10 17:10:00,8.42,8.42,8.41,8.42,1536
2023-04-10 17:15:00,8.42,8.42,8.41,8.41,1511
2023-04-10 17:20:00,8.42,8.42,8.42,8.42,1460
2023-04-10 17:25:00,8.42,8.42,8.41,8.41,3369
2023-04-10 17:30:00,8.41,8.41,8.41,8.41,3141
2023-04-10 17:35:00,8.42,8.42,8.41,8.41,1323
2023-04-10 17:40:00,8.41,8.42,8.41,8.42,6934
2023-04-10 17:45:00,8.42,8.42,8.42,8.42,9263
2023-04-10 17:50:00,8.42,8.43,8.42,8.43,11804
2023-04-10 17:55:00,8.42,8.43,8.42,8.42,7434
2023-04-10 18:00:00,8.43,8.44,8.42,8.43,55853
2023-04-10 18:05:00,8.435,8.45,8.43,8.45,27430
2023-04-10 18:10:00,8.44,8.45,8.43,8.45,17761
2023-04-10 18:15:00,8.4499,8.45,8.41,8.41,2437
2023-04-10 18:20:00,8.43,8.43,8.42,8.43,14443
2023-04-10 18:25:00,8.42,8.42,8.4199,8.4199,1116
2023-04-10 18:30:00,8.42,8.42,8.4,8.41,16130
2023-04-10 18:35:00,8.4,8.4,8.4,8.4,5618
2023-04-10 18:40:00,8.4,8.4,8.39,8.39,1112
2023-04-10 18:45:00,8.4,8.4,8.4,8.4,520
2023-04-10 18:50:00,8.4,8.4,8.39,8.39,1311
